,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,tolls_amount,fare_amount,total_amount
104,2012-08-11 01:10:43 UTC,-73.987346,40.729184,-73.943281,40.777675,1,5.6,0.0,15.7,20.87
105,2013-01-08 23:50:17 UTC,-74.00082,40.742137,-73.960707,40.660261,1,6.6,0.0,22.5,28.2
106,2015-03-20 23:29:26 UTC,0.0,0.0,0.0,0.0,1,12.1,0.0,35.5,36.8
107,2011-04-03 01:08:53 UTC,-73.973826,40.747988,-73.958852,40.716731,1,4.6,0.0,16.9,23.27
108,2012-01-29 11:14:09 UTC,-73.977854,40.684759,-73.969189,40.638987,1,5.0,0.0,15.3,15.8
109,2012-03-04 00:57:00 UTC,0.0,0.0,0.0,0.0,5,10.08,0.0,22.5,29.25
110,2010-05-22 03:22:27 UTC,-73.960976,40.719094,-73.999057,40.680561,1,5.7,0.0,14.9,15.9
111,2012-05-10 18:43:16 UTC,-73.982788,40.767511,-73.928274,40.863705,1,7.9,0.0,23.3,24.8
112,2014-05-17 15:15:00 UTC,-74.010465,40.711175,-73.96619,40.761705,3,5.93,0.0,25.0,30.5
113,2013-12-21 06:21:00 UTC,-73.980227,40.742997,-73.817962,40.763682,1,11.58,5.33,32.5,38.33
114,2009-12-19 03:53:33 UTC,-74.00232,40.750794,-73.945404,40.822692,2,6.8,0.0,18.1,21.96
115,2009-07-18 00:17:46 UTC,-73.98946,40.756944,-73.935737,40.795842,1,5.0,0.0,15.3,15.3
116,2010-01-27 22:22:48 UTC,-73.968507,40.761958,-73.959208,40.771578,1,9.4,0.0,29.3,30.3
117,2015-04-10 15:08:00 UTC,-74.01367950439453,40.71432876586914,-73.98690795898438,40.75856018066406,5,4.32,0.0,21.0,21.8
118,2013-08-15 10:42:41 UTC,-73.974005,40.764274,-73.861286,40.768003,1,10.0,0.0,28.5,29.0
119,2009-02-25 18:06:45 UTC,-73.994537,40.750668,-73.977685,40.749044,1,1.1,0.0,7.1,7.1
120,2015-01-18 14:21:56 UTC,-73.78173065185547,40.644813537597656,-73.84091186523438,40.717872619628906,1,7.77,0.0,26.5,32.6
121,2012-12-20 07:18:10 UTC,-73.951135,40.782603,-74.005005,40.705358,1,7.1,0.0,22.5,23.0
122,2010-02-25 20:14:00 UTC,-73.993508,40.749817,-73.84284,40.87798,1,18.58,0.0,41.3,50.66
123,2009-12-07 20:49:00 UTC,-73.96357,40.774467,-74.000493,40.720878,1,4.61,0.0,14.9,15.9
124,2013-01-29 05:21:00 UTC,-74.0039,40.717222,-73.955505,40.777727,2,7.62,0.0,22.5,28.1
125,2012-07-05 14:18:00 UTC,-74.015485,40.715725,-73.946735,40.776407,5,8.52,0.0,21.7,22.2
126,2011-04-26 18:34:39 UTC,-73.976567,40.756939,-73.91961,40.75694,1,4.4,0.0,15.3,16.8
127,2010-04-29 12:28:00 UTC,-74.009513,40.72891,-74.010633,40.72731,5,2.68,0.0,15.3,15.8
128,2012-09-29 10:48:54 UTC,-73.951162,40.743852,-73.995405,40.725296,2,5.1,0.0,18.0,22.2
129,2010-05-21 08:41:57 UTC,-73.951446,40.769929,-74.017192,40.705435,1,7.5,0.0,19.3,19.8
130,2009-01-23 10:43:11 UTC,-73.958074,40.772968,-73.954562,40.777192,1,0.4,0.0,2.9,3.33
131,2011-12-03 10:28:00 UTC,-73.874407,40.774047,-73.90334,40.869148,5,11.73,4.8,26.1,36.62
132,2011-06-08 19:23:20 UTC,-73.98701,40.729385,-73.948105,40.709777,1,3.3,0.0,14.9,19.68
133,2013-12-06 14:55:00 UTC,-73.980962,40.733595,-73.971825,40.790337,1,6.04,0.0,22.5,27.5
134,2012-06-01 06:40:49 UTC,-73.974915,40.790793,-74.014097,40.71402,1,6.1,0.0,16.1,17.6
135,2014-02-24 18:22:00 UTC,-73.98583,40.752352,-73.998647,40.745412,1,4.59,0.0,22.5,26.0
136,2014-05-17 15:15:00 UTC,-73.781967,40.644907,-73.831852,40.75985,1,11.19,0.0,33.5,34.0
137,2009-04-07 18:21:08 UTC,-73.966054,40.770821,-73.955319,40.772682,1,0.8,0.0,6.3,7.56
138,2012-05-02 22:28:26 UTC,-73.862927,40.768721,-73.981236,40.752191,1,12.2,0.0,28.1,29.1
139,2015-05-02 18:10:05 UTC,-73.87439727783203,40.774009704589844,-73.9410400390625,40.811763763427734,2,6.9,5.54,22.0,28.34
140,2014-09-18 20:25:05 UTC,-74.002291,40.729572,-73.977324,40.779534,1,5.0,0.0,19.5,20.5
141,2013-12-06 14:55:00 UTC,-74.00701,40.703887,-73.982172,40.761602,1,6.0,0.0,24.0,24.5
142,2009-02-24 23:44:22 UTC,-73.986531,40.757109,-73.97403,40.750545,4,0.8,0.0,5.8,5.8
143,2012-03-04 00:57:00 UTC,-73.983613,40.726075,-73.972455,40.786127,1,5.49,0.0,16.1,19.0
144,2014-07-07 12:09:28 UTC,-73.86419,40.769883,-73.978351,40.761919,1,11.2,5.33,33.0,43.83
145,2012-03-28 13:58:25 UTC,-73.873084,40.774073,-74.007585,40.741002,2,10.4,4.8,28.1,40.08
146,2012-11-19 17:41:00 UTC,-73.873167,40.774062,-73.985252,40.744807,2,8.64,4.8,28.0,39.3
147,2012-07-19 06:27:00 UTC,-74.013387,40.703212,-73.886653,40.768545,1,12.46,0.0,30.9,40.67
148,2011-09-16 17:10:47 UTC,-73.870845,40.7738,-73.916646,40.561076,1,22.5,1.8,49.3,52.6
149,2010-10-21 18:07:47 UTC,-73.990432,40.6868,-74.017264,40.705208,1,4.7,0.0,15.7,17.2
150,2009-11-27 11:26:53 UTC,-73.978795,40.753577,-73.861413,40.76819,2,11.1,4.57,25.7,36.77
151,2010-04-29 12:28:00 UTC,-73.999783,40.732843,-73.991435,40.691442,5,4.02,0.0,16.1,16.6
152,2009-07-04 08:36:00 UTC,-73.958128,40.760462,-73.950687,40.821148,5,5.78,0.0,15.3,15.3
153,2014-06-29 11:14:17 UTC,-73.993289,40.752283,-73.940769,40.788656,1,4.8,0.0,20.5,21.0
154,2015-01-18 14:21:56 UTC,-73.94563293457031,40.77808380126953,-73.86164093017578,40.76831817626953,2,8.3,5.33,23.5,35.53
155,2015-05-19 00:40:02 UTC,-73.9879150390625,40.73273468017578,-73.92987060546875,40.700828552246094,1,4.9,0.0,19.5,24.96
156,2009-04-21 01:48:43 UTC,-73.863452,40.769598,-73.986111,40.762035,1,9.9,4.15,23.3,27.45
157,2010-04-29 12:28:00 UTC,-73.984773,40.779348,-73.983157,40.779373,1,0.1,0.0,2.9,3.4
158,2011-03-19 03:32:00 UTC,-74.007283,40.733472,-74.007283,40.733472,1,11.85,0.0,26.9,27.9
159,2010-07-17 06:33:40 UTC,-73.98126,40.780662,-73.861693,40.768392,1,10.6,4.57,25.3,30.37
160,2009-02-19 21:29:36 UTC,-73.960265,40.772848,-73.984409,40.769762,2,2.3,0.0,9.4,9.4
161,2011-12-03 10:28:00 UTC,-73.985307,40.763272,-73.861552,40.768307,2,11.85,4.8,27.7,33.0
162,2009-04-09 17:42:57 UTC,-73.956089,40.771976,-73.965776,40.771144,1,0.7,0.0,6.3,6.3
163,2011-06-08 19:23:20 UTC,-73.9616,40.7642,-73.9875,40.7217,1,3.4,0.0,14.9,18.4
164,2009-05-27 20:37:00 UTC,-73.885308,40.773095,-73.9711,40.756132,5,9.76,4.15,22.9,33.4
165,2014-10-06 15:16:00 UTC,-73.865635,40.770745,-73.96571,40.687385,5,9.53,0.0,35.0,42.5
166,2012-03-04 00:57:00 UTC,-73.955437,40.764482,-73.87638,40.819622,6,7.43,0.0,17.7,18.7
167,2012-09-25 17:08:43 UTC,-74.007232,40.728566,-73.975568,40.761693,2,3.2,0.0,20.0,26.87
168,2014-11-22 23:15:25 UTC,-73.953832,40.7871,-74.007114,40.741584,4,5.9,0.0,20.0,21.0
169,2014-05-17 15:15:00 UTC,-73.86284,40.769052,-73.980105,40.724617,1,10.49,5.33,31.5,44.7
